"","P","Q","E"
"1981-04-06",1.5239,0.472962962962963,3.0285
"1981-04-07",0.1854,0.515,3.1201
"1981-04-08",0.0061,0.460462962962963,2.9301
"1981-04-09",0,0.44787037037037,2.9838
"1981-04-10",0,0.440092592592593,2.7833
"1981-04-11",0,0.432962962962963,2.7825
"1981-04-12",0,0.423425925925926,2.8307
"1981-04-13",1.964,0.423240740740741,2.3104
"1981-04-14",7.1757,0.56212962962963,2.1937
"1981-04-15",0.0445,0.670833333333333,2.4295
"1981-04-16",0.1663,0.483333333333333,2.2176
"1981-04-17",0,0.460833333333333,2.2906
"1981-04-18",0,0.450462962962963,2.4602
"1981-04-19",0,0.442685185185185,2.1927
"1981-04-20",0,0.443425925925926,2.1416
"1981-04-21",0,0.43962962962963,2.2644
"1981-04-22",0,0.433148148148148,2.1615
"1981-04-23",0.0785,0.431388888888889,2.3315
"1981-04-24",1.2698,0.433518518518518,2.0208
"1981-04-25",0.0144,0.437592592592593,1.7318
"1981-04-26",0.6131,0.436111111111111,1.8058
"1981-04-27",0.6254,0.436851851851852,1.706
"1981-04-28",3.6175,0.465277777777778,1.4722
"1981-04-29",6.4276,0.786944444444444,1.8297
"1981-04-30",0.3495,0.677037037037037,2.0038
"1981-05-01",0,0.501944444444444,2.065
"1981-05-02",0.1867,0.465092592592593,2.0008
"1981-05-03",1.5188,0.471481481481481,2.0178
"1981-05-04",0.0246,0.467314814814815,1.9543
"1981-05-05",0.3019,0.453148148148148,1.8987
"1981-05-06",5.5768,0.49212962962963,1.4177
"1981-05-07",27.9839,1.1637037037037,1.4977
"1981-05-08",3.1924,0.90212962962963,1.3937
"1981-05-09",4.8538,0.973796296296296,1.4144
"1981-05-10",7.8318,1.56407407407407,1.2226
"1981-05-11",3.1046,1.00083333333333,1.2597
"1981-05-12",0.9107,0.826851851851852,1.4896
"1981-05-13",0.9842,0.692407407407407,1.5185
"1981-05-14",0.0016,0.594722222222222,1.5523
"1981-05-15",0,0.554074074074074,1.4114
"1981-05-16",0,0.53037037037037,1.4194
"1981-05-17",6.191,0.555833333333333,1.2041
"1981-05-18",0.1194,0.687592592592593,1.2607
"1981-05-19",0,0.535,1.2366
"1981-05-20",0.5273,0.511018518518518,1.231
"1981-05-21",0,0.500740740740741,1.2036
"1981-05-22",0.0498,0.503611111111111,1.2484
"1981-05-23",1.3782,0.51,1.3224
"1981-05-24",4.2075,0.59462962962963,1.2676
"1981-05-25",12.8326,0.939074074074074,1.1811
"1981-05-26",36.0605,2.25324074074074,1.3203
"1981-05-27",6.7597,1.12861111111111,1.1467
"1981-05-28",7.0867,1.19157407407407,1.2307
"1981-05-29",4.2848,0.939722222222222,1.2857
"1981-05-30",6.1467,0.910833333333333,1.2412
"1981-05-31",2.5757,0.794907407407407,1.1956
"1981-06-01",8.0338,0.849351851851852,1.2246
"1981-06-02",2.0291,0.909907407407407,1.1294
"1981-06-03",8.9554,1.38314814814815,1.1065
"1981-06-04",13.1574,2.17740740740741,1.1219
"1981-06-05",1.9602,1.20240740740741,1.09
"1981-06-06",0.2812,0.913888888888889,1.0957
"1981-06-07",0,0.78287037037037,1.0132
"1981-06-08",0,0.724444444444444,1.0211
"1981-06-09",1.6254,0.702222222222222,1.0802
"1981-06-10",9.01,0.889074074074074,1.0439
"1981-06-11",5.1722,1.25212962962963,1.0531
"1981-06-12",6.2158,1.40361111111111,1.0563
"1981-06-13",4.0317,1.13888888888889,1.0172
"1981-06-14",18.2531,2.18138888888889,1.1022
"1981-06-15",11.5233,2.5862962962963,1.0002
"1981-06-16",5.9193,1.8337037037037,0.9533
"1981-06-17",1.2468,1.28222222222222,0.9591
"1981-06-18",0.5954,1.10657407407407,1.0121
"1981-06-19",3.9691,1.21759259259259,1.016
"1981-06-20",0.0012,1.05361111111111,0.999
"1981-06-21",0.8781,0.92537037037037,1.0445
"1981-06-22",7.0593,0.955648148148148,1.0631
"1981-06-23",21.2837,1.91083333333333,0.9649
"1981-06-24",4.3884,1.48481481481481,1.0011
"1981-06-25",15.362,1.95453703703704,0.9405
"1981-06-26",12.2711,2.63277777777778,1.0378
"1981-06-27",8.6628,2.72185185185185,1.0526
"1981-06-28",1.2294,1.96611111111111,1.0923
"1981-06-29",1.4597,1.56342592592593,1.0991
"1981-06-30",0.8181,1.37805555555556,1.1307
"1981-07-01",3.5502,1.27537037037037,1.1105
"1981-07-02",2.9898,1.2562037037037,1.0716
"1981-07-03",7.3824,1.38361111111111,1.025
"1981-07-04",19.3204,2.76138888888889,1.0482
"1981-07-05",18.8223,3.42268518518518,1.0243
